harvest,season,date,point,spp,origin,basal,height,location,wall,year,cut,number_yrs_grow
sta_rd,2022,2022.08.15,950,ab,v,1.15,87,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,950,ab,v,0.75,91,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,950,ab,v,1,98,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,951,rm,s,0.15,30,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,951,rm,s,0.2,34.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,951,ab,v,1,95,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,951,wa,s,0.25,46,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,951,bc,s,1,92,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,952,rm,s,0.25,63.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,952,rm,s,0.25,56.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,952,rm,s,0.25,44,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,952,wa,s,1,78,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,952,wa,s,0.65,74,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,952,wa,s,1.25,105,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,953,ab,v,1,64,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,953,wa,s,0.6,64,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,953,wa,s,0.5,56,p,protected,2022,2018,5
sta_rd,2022,2022.08.15,953,wa,s,0.5,55,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,954,sm,s,0.2,17,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,954,ab,v,0.65,77,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,954,wa,s,0.5,60.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,954,bc,s,0.6,72,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,954,ro,s,0.5,54,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,954,ro,s,0.5,35,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,955,wa,s,0.5,49,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,955,wa,s,0.25,38.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,955,wa,s,0.75,70.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,955,wa,s,0.4,47.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,955,ba,s,0.75,67.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,956,wa,s,0.6,36.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,956,wa,s,0.5,55,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,956,wa,s,0.6,57.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,956,wa,s,0.65,53,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,956,wa,s,0.5,42,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,957,rm,s,0.2,31,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,957,rm,s,0.2,30.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,957,wa,s,0.65,83.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,958,rm,s,0.25,46,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,958,sm,s,0.15,15,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,958,sm,s,0.2,23,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,958,ab,v,0.5,64.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,958,ro,s,0.65,66,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,959,rm,s,0.15,23,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,959,wa,s,0.65,54,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,959,wa,s,0.25,28.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,959,ro,s,0.25,53.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,960,sm,s,0.12,15,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,960,wa,s,1,106,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,960,wa,s,0.5,62,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,960,wa,s,0.3,73.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,960,wa,s,0.75,104,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,961,rm,s,0.15,33,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,961,rm,s,0.12,28,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,961,ab,v,0.65,66.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,961,ab,v,0.75,83,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,961,wa,s,0.4,54.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,961,wa,s,0.25,51,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,962,rm,s,0.12,17.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,962,rm,s,0.2,38.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,962,sm,s,0.25,43,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,962,wa,s,0.25,45.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.12,962,ro,s,0.25,45.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,963,rm,s,0.15,29.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,963,rm,s,0.15,40,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,963,rm,s,0.2,44,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,963,rm,s,0.2,35,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,963,wa,s,0.25,50,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,963,bc,s,0.25,66,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,964,rm,s,0.15,34,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,964,sm,s,0.2,45.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,964,sm,s,0.2,43.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,964,sm,s,0.15,36.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,964,wa,s,0.4,62.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,964,wa,s,0.5,63,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,965,rm,s,0.12,30,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,965,sm,s,0.25,44.5,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,965,sm,s,0.25,35,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,965,sm,s,0.15,23,p,protected,2022,2018,5
sta_rd,2022,2022.08.16,965,ro,s,0.25,33.5,p,protected,2022,2018,5
campridge,2022,2023.03.08,100,ab,v,0.2,46,i,protected,2022,2019,4
campridge,2022,2023.03.08,100,ro,s,0.25,38,i,protected,2022,2019,4
campridge,2022,2023.03.08,100,ro,s,0.25,31.5,i,protected,2022,2019,4
campridge,2022,2023.03.08,100,ro,s,0.25,30.5,i,protected,2022,2019,4
campridge,2022,2023.03.08,100,ro,s,0.25,35,i,protected,2022,2019,4
campridge,2022,2023.03.10,247,eh,v,0.65,93,i,protected,2022,2019,4
campridge,2022,2023.03.10,247,eh,v,0.65,107,i,protected,2022,2019,4
campridge,2022,2023.03.10,247,eh,v,0.5,80,i,protected,2022,2019,4
campridge,2022,2023.03.10,247,eh,v,0.65,112,i,protected,2022,2019,4
campridge,2022,2023.03.21,248,rm,s,0.15,28,i,protected,2022,2019,4
campridge,2022,2023.03.21,248,sb,s,0.5,75,i,protected,2022,2019,4
campridge,2022,2023.03.21,248,ab,v,1,85,i,protected,2022,2019,4
campridge,2022,2023.03.21,248,eh,s,0.5,87,i,protected,2022,2019,4
campridge,2022,2023.03.21,248,eh,v,0.5,87,i,protected,2022,2019,4
campridge,2022,2023.03.21,249,rm,s,0.2,34,i,protected,2022,2019,4
campridge,2022,2023.03.21,249,ab,v,0.5,56,i,protected,2022,2019,4
campridge,2022,2023.03.21,249,wa,s,1,78,i,protected,2022,2019,4
campridge,2022,2023.03.21,249,eh,v,0.6,82.5,i,protected,2022,2019,4
campridge,2022,2023.03.21,249,ro,s,0.12,29,i,protected,2022,2019,4
campridge,2022,2023.03.21,249,ba,s,0.5,40,i,protected,2022,2019,4
campridge,2022,2023.03.21,250,rm,s,0.25,47,i,protected,2022,2019,4
campridge,2022,2023.03.21,250,rm,s,0.5,55,i,protected,2022,2019,4
campridge,2022,2023.03.21,250,sb,s,0.5,64.5,i,protected,2022,2019,4
campridge,2022,2023.03.21,250,wa,s,0.85,65,i,protected,2022,2019,4
campridge,2022,2023.03.21,250,ro,s,0.35,43,i,protected,2022,2019,4
campridge,2022,2023.03.21,251,rm,s,0.2,36.5,i,protected,2022,2019,4
campridge,2022,2023.03.21,251,ab,v,0.2,32,i,protected,2022,2019,4
campridge,2022,2023.03.21,251,ab,v,1,92,i,protected,2022,2019,4
campridge,2022,2023.03.21,251,wa,s,0.35,39,i,protected,2022,2019,4
campridge,2022,2023.03.21,251,wa,s,0.25,36,i,protected,2022,2019,4
campridge,2022,2023.03.10,252,ab,v,0.6,46,i,protected,2022,2019,4
campridge,2022,2023.03.10,252,ab,v,0.25,38,i,protected,2022,2019,4
campridge,2022,2023.03.10,252,ab,v,0.25,45,i,protected,2022,2019,4
campridge,2022,2023.03.10,252,ab,v,0.5,55,i,protected,2022,2019,4
campridge,2022,2023.03.10,253,sb,s,0.75,75,i,protected,2022,2019,4
campridge,2022,2023.03.10,253,sb,s,0.3,55,i,protected,2022,2019,4
campridge,2022,2023.03.10,253,ab,v,1,77,i,protected,2022,2019,4
campridge,2022,2023.03.10,253,ab,v,0.65,79,i,protected,2022,2019,4
campridge,2022,2023.03.10,254,sb,s,0.6,72,i,protected,2022,2019,4
campridge,2022,2023.03.10,254,ab,v,0.6,63,i,protected,2022,2019,4
campridge,2022,2023.03.10,254,ab,v,0.65,72,i,protected,2022,2019,4
campridge,2022,2023.03.10,254,ro,s,0.15,24,i,protected,2022,2019,4
campridge,2022,2023.03.10,254,ro,s,0.25,32,i,protected,2022,2019,4
campridge,2022,2023.03.10,255,rm,s,0.12,19,i,protected,2022,2019,4
campridge,2022,2023.03.10,255,sb,s,0.6,78,i,protected,2022,2019,4
campridge,2022,2023.03.10,255,ab,v,0.75,72,i,protected,2022,2019,4
campridge,2022,2023.03.10,255,ab,v,0.6,71,i,protected,2022,2019,4
campridge,2022,2023.03.10,255,ab,v,0.35,61,i,protected,2022,2019,4
campridge,2022,2023.03.10,256,rm,s,0.12,24,i,protected,2022,2019,4
campridge,2022,2023.03.10,256,ab,v,0.5,58,i,protected,2022,2019,4
campridge,2022,2023.03.10,256,ab,v,0.75,54,i,protected,2022,2019,4
campridge,2022,2023.03.10,256,ro,s,0.6,57,i,protected,2022,2019,4
campridge,2022,2023.03.10,256,ro,s,0.25,44.5,i,protected,2022,2019,4
campridge,2022,2023.04.03,441,wp,s,0.75,48,i,protected,2022,2019,4
campridge,2022,2023.04.03,441,sb,s,0.75,79,i,protected,2022,2019,4
campridge,2022,2023.04.03,441,ab,v,2,90,i,protected,2022,2019,4
campridge,2022,2023.04.03,441,ro,s,0.6,59,i,protected,2022,2019,4
campridge,2022,2023.04.03,441,ro,s,0.75,103,i,protected,2022,2019,4
campridge,2022,2023.04.03,441,ro,s,0.5,62.5,i,protected,2022,2019,4
campridge,2022,2023.04.03,442,wp,s,1.25,70,i,protected,2022,2019,4
campridge,2022,2023.04.03,442,rm,s,0.65,74,i,protected,2022,2019,4
campridge,2022,2023.04.03,442,rm,s,0.65,76,i,protected,2022,2019,4
campridge,2022,2023.04.03,442,sm,s,0.12,28,i,protected,2022,2019,4
campridge,2022,2023.04.03,442,ro,s,0.75,74,i,protected,2022,2019,4
campridge,2022,2023.04.03,443,rm,s,0.2,45,i,protected,2022,2019,4
campridge,2022,2023.04.03,443,sb,s,0.75,114,i,protected,2022,2019,4
campridge,2022,2023.04.03,443,wa,s,0.5,65.5,i,protected,2022,2019,4
campridge,2022,2023.04.03,443,bc,s,0.75,80,i,protected,2022,2019,4
campridge,2022,2023.04.03,443,ro,s,0.6,67.5,i,protected,2022,2019,4
campridge,2022,2023.04.03,444,sb,s,1,111,i,protected,2022,2019,4
campridge,2022,2023.04.03,444,sb,s,0.75,93.5,i,protected,2022,2019,4
campridge,2022,2023.04.03,444,ab,v,1.25,98,i,protected,2022,2019,4
campridge,2022,2023.04.03,444,ro,s,0.5,71,i,protected,2022,2019,4
campridge,2022,2023.04.03,444,ro,s,0.25,63,i,protected,2022,2019,4
campridge,2022,2023.04.03,444,ro,s,0.75,86,i,protected,2022,2019,4
campridge,2022,2023.04.03,444,ro,s,0.5,72,i,protected,2022,2019,4
campridge,2022,2023.04.03,445,sb,s,1.15,118,i,protected,2022,2019,4
campridge,2022,2023.04.03,445,ab,v,0.75,101,i,protected,2022,2019,4
campridge,2022,2023.04.03,445,ab,v,1,86,i,protected,2022,2019,4
campridge,2022,2023.04.03,445,ab,v,1.75,118,i,protected,2022,2019,4
campridge,2022,2023.04.03,446,sb,s,0.5,102,i,protected,2022,2019,4
campridge,2022,2023.04.03,446,ab,v,1.75,117,i,protected,2022,2019,4
campridge,2022,2023.04.03,446,ro,s,1,94,i,protected,2022,2019,4
campridge,2022,2023.04.03,446,ro,s,0.75,83.5,i,protected,2022,2019,4
campridge,2022,2023.04.03,446,ro,s,0.65,71,i,protected,2022,2019,4
campridge,2022,2023.04.03,446,ro,s,0.75,100.5,i,protected,2022,2019,4
campridge,2022,2023.04.03,447,ab,v,0.5,58.5,p,protected,2022,2019,4
campridge,2022,2023.04.03,447,ab,v,0.5,74,p,protected,2022,2019,4
campridge,2022,2023.04.03,447,ab,v,0.65,76,p,protected,2022,2019,4
campridge,2022,2023.04.03,447,ab,v,0.65,84.5,p,protected,2022,2019,4
campridge,2022,2023.04.03,448,ab,v,1,79.5,p,protected,2022,2019,4
campridge,2022,2023.04.03,448,wa,s,0.5,57,p,protected,2022,2019,4
campridge,2022,2023.04.03,448,wa,s,0.65,60,p,protected,2022,2019,4
campridge,2022,2023.04.03,448,wa,s,0.65,70.5,p,protected,2022,2019,4
campridge,2022,2023.03.31,449,sb,s,1.25,117,i,protected,2022,2019,4
campridge,2022,2023.03.31,449,sb,s,0.75,93,i,protected,2022,2019,4
campridge,2022,2023.03.31,449,ab,v,0.65,82,i,protected,2022,2019,4
campridge,2022,2023.03.31,449,ab,v,0.85,82,i,protected,2022,2019,4
campridge,2022,2023.03.31,449,ro,s,0.25,49,i,protected,2022,2019,4
campridge,2022,2023.03.31,450,ab,v,0.85,95,i,protected,2022,2019,4
campridge,2022,2023.03.31,450,ab,v,0.65,91,i,protected,2022,2019,4
campridge,2022,2023.03.31,450,ab,v,0.6,84,i,protected,2022,2019,4
campridge,2022,2023.03.31,450,ab,v,0.85,90,i,protected,2022,2019,4
campridge,2022,2023.04.03,451,rm,s,0.2,51,i,protected,2022,2019,4
campridge,2022,2023.04.03,451,rm,s,0.25,63,i,protected,2022,2019,4
campridge,2022,2023.04.03,451,sb,s,1.1,132,i,protected,2022,2019,4
campridge,2022,2023.04.03,451,wa,s,0.6,64,i,protected,2022,2019,4
campridge,2022,2023.04.03,451,ro,s,0.5,57,i,protected,2022,2019,4
campridge,2022,2023.04.03,452,rm,s,0.25,67.5,i,protected,2022,2019,4
campridge,2022,2023.04.03,452,rm,s,0.25,62,i,protected,2022,2019,4
campridge,2022,2023.04.03,452,rm,s,0.25,63.5,i,protected,2022,2019,4
campridge,2022,2023.04.03,452,ro,s,1,78,i,protected,2022,2019,4
campridge,2022,2023.04.03,452,ro,s,0.5,67,i,protected,2022,2019,4
campridge,2022,2023.04.03,452,ro,s,0.3,58,i,protected,2022,2019,4
campridge,2022,2023.04.03,453,ab,v,1,73,i,protected,2022,2019,4
campridge,2022,2023.04.03,453,ab,v,0.85,77,i,protected,2022,2019,4
campridge,2022,2023.04.03,453,ab,v,1,120,i,protected,2022,2019,4
campridge,2022,2023.04.03,453,ro,s,0.6,89,i,protected,2022,2019,4
campridge,2022,2023.04.03,453,ro,s,0.6,65,i,protected,2022,2019,4
campridge,2022,2023.04.03,454,sb,s,1.15,126,i,protected,2022,2019,4
campridge,2022,2023.04.03,454,ro,s,0.6,71,i,protected,2022,2019,4
campridge,2022,2023.04.03,454,ro,s,0.75,86,i,protected,2022,2019,4
campridge,2022,2023.04.03,454,ro,s,0.5,72,i,protected,2022,2019,4
campridge,2022,2023.04.03,455,sb,s,1.15,135,i,protected,2022,2019,4
campridge,2022,2023.04.03,455,ro,s,0.5,67.5,i,protected,2022,2019,4
campridge,2022,2023.04.03,455,ro,s,0.5,63,i,protected,2022,2019,4
campridge,2022,2023.04.03,455,ro,s,0.5,56.5,i,protected,2022,2019,4
