harvest,date,location,point,spp,origin,radius.01,radius.other,sup.seed01,sup.seed02,sup.seed03,sup.sapl,exp.seed01,exp.seed02,exp.seed03,exp.sapl,top4,other
crp,2020.07.15,control,767,356,t,3.7,6,,,,,4,,,,,
crp,2020.07.15,control,775,356,t,3.7,6,,,,,1,,,,,
rp,2020.06.01,interior,335,356,t,3.7,6,,4,,,,,,,,
rp,2020.06.01,interior,336,356,t,3.7,6,4,,,,,,,,,
rp,2020.06.09,interior,344,356,t,3.7,6,1,,,,,1,,,,
rp,2020.05.26,perimeter,880,356,t,3.7,6,,,,,,3,,,,
rp,2020.05.26,perimeter,881,356,t,3.7,6,1,,,,4,10,,,,
rp,2020.06.08,perimeter,887,356,t,3.7,6,,,,,,4,,,,
gl,2020.04.15,perimeter,810,356,s,3.7,6,,,,,,,,1,,
gl,2020.04.17,perimeter,819,356,s,3.7,6,2,1,,,,1,,,,
gl,2020.04.10,perimeter,826,356,s,3.7,6,,,,,1,,,,,
gl,2020.04.17,perimeter,829,356,s,3.7,6,,,,,1,,,,,
gl,2020.04.16,perimeter,830,356,s,3.7,6,3,,,,1,,,,,
gl,2020.04.14,interior,842,356,s,3.7,6,,,,,,2,,,,
gl,2020.04.15,perimeter,810,356,t,3.7,6,,,,,,1,,,,
gl,2020.04.08,interior,838,356,t,3.7,6,,,,,3,1,,,,
gl,2020.04.14,interior,842,356,t,3.7,6,1,,,,,2,,,,
crp,2020.07.16,control,755,356,s,3.7,6,,,,,1,,,,,
gl,2020.04.16,perimeter,835,356,s,3.7,6,,,,,,1,,,,
gl,2020.05.08,interior,848,372,s,3.7,6,,,,,,1,,,1,
boot,2020.06.15,perimeter,958,372,s,3.7,6,,,,,1,,,,,
cwb,2020.07.06,control,388,372,s,3.7,6,2,,,,,,,,2,
cwb,2020.07.06,control,389,372,s,3.7,6,1,,,,8,,,,,
cwb,2020.07.06,control,390,372,s,3.7,6,9,,,,22,,,,4,
cwb,2020.07.07,control,394,372,s,3.7,6,1,,,,,,,,1,
boot,2020.06.17,perimeter,951,372,r,3.7,6,8,,,,3,1,,,,
boot,2020.06.16,interior,350,372,s,3.7,6,,,,,2,,,,,
boot,2020.06.17,interior,351,372,s,3.7,6,,,,,9,,,,,
boot,2020.06.22,interior,352,372,s,3.7,6,,,,,,1,,,,
boot,2020.06.17,interior,353,372,s,3.7,6,5,,,,13,,,,3,
boot,2020.06.22,interior,354,372,s,3.7,6,5,,,,,,,,,
boot,2020.06.16,interior,355,372,s,3.7,6,1,,,,6,,,,,
boot,2020.06.22,interior,357,372,s,3.7,6,1,,,,,1,,,1,
boot,2020.06.22,interior,360,372,s,3.7,6,,,,,2,,,,,
boot,2020.06.22,interior,365,372,s,3.7,6,1,,,,,,,,,
boot,2020.06.12,interior,366,372,s,3.7,6,1,,,,6,3,,,4,
boot,2020.06.12,interior,367,372,s,3.7,6,1,,,,,,,,,
boot,2020.06.15,interior,369,372,s,3.7,6,10,,,,27,,,,4,
boot,2020.06.17,perimeter,951,372,s,3.7,6,4,,,,11,1,,,,
boot,2020.06.19,perimeter,952,372,s,3.7,6,1,,,,4,,,,,
boot,2020.06.19,perimeter,953,372,s,3.7,6,2,,,,1,,,,,
boot,2020.06.12,perimeter,956,372,s,3.7,6,,,,,7,,,,,
boot,2020.06.15,perimeter,958,372,s,3.7,6,10,,,,15,,,,,
boot,2020.06.15,perimeter,959,372,s,3.7,6,2,,,,9,,,,,
boot,2020.06.16,perimeter,962,372,s,3.7,6,1,,,,,,,,,
boot,2020.06.16,perimeter,963,372,s,3.7,6,1,,,,4,,,,,
boot,2020.06.16,perimeter,964,372,s,3.7,6,3,,,,4,,,,3,
boot,2020.06.16,perimeter,965,372,s,3.7,6,2,,,,17,1,,,1,
cgl,2020.07.14,control,731,372,s,3.7,6,,,,,4,,,,1,
cgl,2020.07.14,control,732,372,s,3.7,6,,,,,1,3,,,3,
cgl,2020.07.14,control,733,372,s,3.7,6,,,,,1,,,,,
cgl,2020.07.14,control,734,372,s,3.7,6,,,,,,,,,,
cgl,2020.07.14,control,735,372,s,3.7,6,,,,,3,,,,,
cgl,2020.07.13,control,737,372,s,3.7,6,,,,,2,,,,1,
cgl,2020.07.14,control,738,372,s,3.7,6,,,,,2,,,,1,
cgl,2020.07.13,control,740,372,s,3.7,6,,,,,11,,,,,
cgl,2020.07.10,control,742,372,s,3.7,6,2,,,,23,,,,,
cgl,2020.07.10,control,743,372,s,3.7,6,2,,,,24,,,,,
cgl,2020.07.13,control,744,372,s,3.7,6,7,,,,21,,,,2,
cgl,2020.07.10,control,745,372,s,3.7,6,,,,,2,1,,,1,
crp,2020.07.17,control,746,372,s,3.7,6,,,,,1,,,,,
crp,2020.07.17,control,747,372,s,3.7,6,,,,,2,,,,2,
crp,2020.07.17,control,748,372,s,3.7,6,,,,,2,,,,,
crp,2020.07.17,control,750,372,s,3.7,6,,,,,1,,,,1,
crp,2020.07.16,control,752,372,s,3.7,6,,,,,2,,,,,
crp,2020.07.16,control,753,372,s,3.7,6,,,,,2,,,,,
crp,2020.07.16,control,754,372,s,3.7,6,,,,,7,,,,,
crp,2020.07.16,control,755,372,s,3.7,6,,,,,1,,,,,
crp,2020.07.16,control,756,372,s,3.7,6,,,,,1,,,,,
crp,2020.07.16,control,758,372,s,3.7,6,1,,,,9,,,,,
crp,2020.07.16,control,761,372,s,3.7,6,,,,,2,,,,,
crp,2020.07.16,control,762,372,s,3.7,6,1,,,,2,,,,,
crp,2020.07.16,control,763,372,s,3.7,6,,,,,6,,,,4,
crp,2020.07.17,control,764,372,s,3.7,6,,,,,4,,,,,
crp,2020.07.16,control,766,372,s,3.7,6,,,,,3,,,,,
crp,2020.07.15,control,768,372,s,3.7,6,,,,,1,,,,,
crp,2020.07.15,control,769,372,s,3.7,6,,,,,1,,,,1,
crp,2020.07.15,control,770,372,s,3.7,6,,,,,4,,,,2,
crp,2020.07.15,control,771,372,s,3.7,6,1,,,,,,,,,
cwb,2020.07.06,control,385,372,s,3.7,6,,,,,,3,,,3,
cwb,2020.06.29,control,386,372,s,3.7,6,2,,,,18,,,,4,
cwb,2020.06.29,control,387,372,s,3.7,6,8,,,,23,,,,4,
cwb,2020.07.06,control,388,372,s,3.7,6,2,,,,,,,,2,
cwb,2020.07.06,control,390,372,s,3.7,6,,,,,,,,,,
cwb,2020.06.29,control,391,372,s,3.7,6,3,,,,5,,,,4,
cwb,2020.06.29,control,392,372,s,3.7,6,1,,,,1,,,,,
cwb,2020.06.29,control,393,372,s,3.7,6,35,,,,30,,,,1,
cwb,2020.07.07,control,395,372,s,3.7,6,,,,,,,,,,
cwb,2020.07.07,control,397,372,s,3.7,6,1,,,,,,,,,
cwb,2020.07.09,control,702,372,s,3.7,6,1,,,,8,,,,3,
cwb,2020.07.07,control,705,372,s,3.7,6,1,,,,,,,,,
cwb,2020.07.07,control,706,372,s,3.7,6,2,,,,1,,,,3,
cwb,2020.07.07,control,708,372,s,3.7,6,1,,,,16,,,,4,
cwb,2020.07.09,control,711,372,s,3.7,6,3,,,,6,,,,4,
cwb,2020.07.06,control,948,372,s,3.7,6,,,,,,1,,,1,
gl,2020.04.15,perimeter,806,372,s,3.7,6,,1,,,1,,,,,
gl,2020.04.15,perimeter,808,372,s,3.7,6,,,,,,4,6,1,4,
gl,2020.04.15,perimeter,809,372,s,3.7,6,,,,,5,1,,,,
gl,2020.04.15,perimeter,810,372,s,3.7,6,22,,,,,18,,,1,
gl,2020.04.15,perimeter,811,372,s,3.7,6,6,,,,4,54,,,4,
gl,2020.04.15,perimeter,812,372,s,3.7,6,1,,,,1,9,,,1,
gl,2020.04.20,perimeter,815,372,s,3.7,6,,,,,1,5,,,,
gl,2020.04.20,perimeter,816,372,s,3.7,6,1,,,,4,10,,,2,
gl,2020.04.17,perimeter,817,372,s,3.7,6,,1,,,2,1,,,,
gl,2020.04.17,perimeter,818,372,s,3.7,6,,,,,,2,,,,
gl,2020.04.17,perimeter,819,372,s,3.7,6,,,,,,2,,,,
gl,2020.05.08,interior,849,372,s,3.7,6,,,,,,2,,,,
gl,2020.04.23,interior,858,372,s,3.7,6,,,,,6,,,,,
gl,2020.04.06,interior,865,372,s,3.7,6,,,,,,1,,,,
gl,2020.04.06,interior,866,372,s,3.7,6,2,,,,,32,,,4,
gl,2020.04.20,interior,867,372,s,3.7,6,,,,,3,1,,,1,
gl,2020.04.22,interior,869,372,s,3.7,6,5,,,,,1,,,1,
gl,2020.04.22,interior,871,372,s,3.7,6,,,,,,1,,,,
gl,2020.04.20,interior,875,372,s,3.7,6,,,,,,1,,,,
gl,2020.04.20,interior,876,372,s,3.7,6,3,,,,1,,,,,
gl,2020.04.22,interior,877,372,s,3.7,6,,,,,1,,,,1,
rp,2020.05.27,interior,334,372,s,3.7,6,,,,,4,,,,1,
rp,2020.06.01,interior,336,372,s,3.7,6,1,,,,,,,,,
rp,2020.06.09,interior,344,372,s,3.7,6,,,,,2,1,,,,
rp,2020.05.28,interior,346,372,s,3.7,6,,,,,1,,,,,
rp,2020.05.26,perimeter,880,372,s,3.7,6,1,,,,,,,,,
rp,2020.06.01,perimeter,885,372,s,3.7,6,1,,,,,,,,,
rp,2020.06.08,perimeter,889,372,s,3.7,6,1,,,,,,,,,
rp,2020.06.09,perimeter,890,372,s,3.7,6,,,,,2,,,,,
wedge,2020.06.29,interior,370,372,s,3.7,6,6,,,,12,,,,,
wedge,2020.06.29,interior,371,372,s,3.7,6,6,,,,16,,,,,
wedge,2020.06.29,interior,372,372,s,3.7,6,3,,,,,,,,,
wedge,2020.06.23,interior,373,372,s,3.7,6,,,,,97,,,,,
wedge,2020.06.25,interior,375,372,s,3.7,6,2,,,,1,,,,1,
wedge,2020.06.25,interior,378,372,s,3.7,6,1,,,,1,,,,,
wedge,2020.06.23,interior,380,372,s,3.7,6,1,,,,,,,,,
wedge,2020.06.23,perimeter,966,372,s,3.7,6,3,,,,1,,,,,
wedge,2020.06.23,perimeter,967,372,s,3.7,6,2,,,,5,,,,,
wedge,2020.06.25,perimeter,972,372,s,3.7,6,11,,,,2,1,,,,
wedge,2020.06.29,perimeter,974,372,s,3.7,6,5,,,,,,,,,
wedge,2020.06.23,perimeter,975,372,s,3.7,6,,,,,13,,,,,
boot,2020.06.12,interior,366,372,t,3.7,6,,,,,2,,,,,
crp,2020.07.16,control,757,372,t,3.7,6,,,,,1,,,,,
crp,2020.07.16,control,766,372,t,3.7,6,,,,,1,1,,,,
gl,2020.04.17,perimeter,822,372,t,3.7,6,,,,,8,,,,1,
gl,2020.04.06,interior,865,372,t,3.7,6,,,,,,3,,,3,
gl,2020.05.08,interior,850,372,s,3.7,6,,,,,1,,,,,
boot,2020.06.16,interior,349,372,s,3.7,6,7,,,,1,,,,,
boot,2020.06.15,perimeter,959,375,s,3.7,6,,,,,,1,,,,
cgl,2020.07.13,control,736,375,s,3.7,6,1,,,,,,,,1,
cgl,2020.07.13,control,744,375,s,3.7,6,1,,,,1,,,,,
crp,2020.07.17,control,746,375,s,3.7,6,,,,,1,,,,,
crp,2020.07.17,control,747,375,s,3.7,6,,,,,2,,,,2,
crp,2020.07.17,control,748,375,s,3.7,6,,,,,1,,,,,
crp,2020.07.16,control,752,375,s,3.7,6,,,,,1,,,,1,
gl,2020.04.15,perimeter,805,375,s,3.7,6,1,,,,,1,,,,
gl,2020.04.17,perimeter,819,375,s,3.7,6,,1,,,,2,,,,
gl,2020.04.17,perimeter,820,375,s,3.7,6,3,2,,,,2,,,,
gl,2020.04.17,perimeter,821,375,s,3.7,6,1,,,,,4,,,,
gl,2020.04.17,perimeter,822,375,s,3.7,6,,,,,1,,,,1,
gl,2020.04.10,perimeter,826,375,s,3.7,6,1,,,,1,1,,,,
gl,2020.04.10,perimeter,827,375,s,3.7,6,,,,,,1,,,1,
gl,2020.04.10,perimeter,828,375,s,3.7,6,1,,,,2,2,,,,
gl,2020.04.16,perimeter,830,375,s,3.7,6,3,,,,1,,,,,
gl,2020.04.16,perimeter,832,375,s,3.7,6,,,,,2,,,,,
gl,2020.04.16,perimeter,833,375,s,3.7,6,,,,,1,,,,1,
gl,2020.04.14,interior,841,375,s,3.7,6,,,,,,1,,,1,
gl,2020.04.22,interior,871,375,s,3.7,6,3,,,,,2,,,,
rp,2020.06.01,perimeter,885,375,s,3.7,6,,,,,,1,,,,
