harvest,location,originx2,spp,year,ht_avg,ht_cm_avg,n,,harvest,location,originx2,spp,year,ht_avg,ht_cm_avg,n
sta_rd,perimeter,singl/unk,ab,2018,64.08333333,162.7716667,6,,sta_rd,perimeter,singl/unk,ab,2019,70.33333333,178.6466667,6
sta_rd,perimeter,singl/unk,ro,2018,8,20.32,1,,sta_rd,perimeter,singl/unk,ro,2019,19,48.26,1
sta_rd,perimeter,singl/unk,sb,2018,13.84615385,35.16923077,26,,sta_rd,perimeter,singl/unk,sb,2019,45.01923077,114.3488462,26
sta_rd,perimeter,singl/unk,sm,2018,10.5,26.67,1,,sta_rd,perimeter,singl/unk,sm,2019,12.5,31.75,1
sta_rd,perimeter,singl/unk,wa,2018,11.31818182,28.74818182,11,,sta_rd,perimeter,singl/unk,wa,2019,27.59090909,70.08090909,11
sta_rd,perimeter,sprout,ab,2018,14.97058824,38.02529412,17,,sta_rd,perimeter,sprout,ab,2019,27.17647059,69.02823529,17
sta_rd,perimeter,sprout,rm,2018,59.95454545,152.2845455,11,,sta_rd,perimeter,sprout,rm,2019,76.81818182,195.1181818,11
sta_rd,perimeter,sprout,sb,2018,17.875,45.4025,4,,sta_rd,perimeter,sprout,sb,2019,57.25,145.415,4
sta_rd,perimeter,sprout,sm,2018,31.42857143,79.82857143,7,,sta_rd,perimeter,sprout,sm,2019,53.78571429,136.6157143,7
sta_rd,perimeter,sprout,wa,2018,57,144.78,1,,sta_rd,perimeter,sprout,wa,2019,96,243.84,1
