harvest,location,point,type,spp,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl
gas_line,perimeter,830,commercial,rm,4051.3433928239374,0,0,0,2025.6716964119687,2696.1127592660973,0,0
gas_line,perimeter,831,commercial,rm,11141.194330265827,0,0,0,6077.015089235906,3851.5896560944248,0,0
gas_line,perimeter,831,commercial,sm,0,385.1589656094425,0,0,0,0,0,0
gas_line,perimeter,832,commercial,rm,0,0,0,0,2025.6716964119687,0,0,0
gas_line,perimeter,834,commercial,rm,0,0,0,0,5064.179241029922,0,0,0
gas_line,perimeter,835,commercial,bc,0,0,0,0,1012.8358482059843,770.317931218885,0,0
gas_line,perimeter,835,commercial,rm,0,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,835,commercial,sm,0,0,0,0,5064.179241029922,385.1589656094425,0,0
gas_line,perimeter,835,commercial,wa,0,0,0,0,1012.8358482059843,1540.63586243777,0,0
red_pine,control,746,commercial,sb,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,747,commercial,sb,0,0,0,0,2025.6716964119687,0,0,0
red_pine,control,748,commercial,rm,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,748,commercial,sb,0,0,0,0,2025.6716964119687,0,0,0
red_pine,control,750,commercial,sb,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,752,commercial,co,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,752,commercial,sb,0,0,0,0,2025.6716964119687,0,0,0
red_pine,control,753,commercial,sb,0,0,0,0,2025.6716964119687,0,0,0
red_pine,control,754,commercial,co,0,0,0,0,1012.8358482059843,385.1589656094425,0,0
red_pine,control,754,commercial,sb,0,0,0,0,7089.85093744189,0,0,0
red_pine,control,755,commercial,sb,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,756,commercial,sb,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,757,commercial,sb,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,758,commercial,sb,1012.8358482059843,0,0,0,9115.52263385386,0,0,0
red_pine,control,761,commercial,rm,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,761,commercial,sb,0,0,0,0,2025.6716964119687,0,0,0
red_pine,control,762,commercial,rm,0,0,0,0,5064.179241029922,0,0,0
red_pine,control,762,commercial,sb,1012.8358482059843,0,0,0,2025.6716964119687,0,0,0
red_pine,control,763,commercial,co,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,763,commercial,sb,0,0,0,0,6077.015089235906,0,0,0
red_pine,control,763,commercial,wa,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,764,commercial,sb,0,0,0,0,4051.3433928239374,0,0,0
red_pine,control,766,commercial,co,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,766,commercial,sb,0,0,0,0,4051.3433928239374,385.1589656094425,0,0
red_pine,control,767,commercial,rm,0,0,0,0,4051.3433928239374,0,0,0
red_pine,control,767,commercial,wa,0,0,0,0,3038.507544617953,0,0,0
red_pine,control,768,commercial,rm,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,768,commercial,sb,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,769,commercial,rm,0,0,0,0,2025.6716964119687,0,0,0
red_pine,control,769,commercial,sb,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,770,commercial,bc,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,770,commercial,rm,0,0,0,0,2025.6716964119687,0,0,0
red_pine,control,770,commercial,sb,0,0,0,0,4051.3433928239374,0,0,0
red_pine,control,771,commercial,rm,2025.6716964119687,0,0,0,2025.6716964119687,0,0,0
red_pine,control,771,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,771,commercial,sb,1012.8358482059843,0,0,0,0,0,0,0
red_pine,control,771,commercial,wa,3038.507544617953,0,0,0,0,0,0,0
red_pine,control,772,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,773,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,774,commercial,rm,0,0,0,0,3038.507544617953,0,0,0
red_pine,control,774,commercial,ro,0,0,0,0,2025.6716964119687,0,0,0
red_pine,control,774,commercial,wo,0,0,0,0,2025.6716964119687,0,0,0
red_pine,control,775,commercial,rm,0,0,0,0,1012.8358482059843,0,0,0
red_pine,control,775,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
red_pine,interior,334,commercial,ro,0,0,0,0,1012.8358482059843,385.1589656094425,0,0
red_pine,interior,334,commercial,sb,0,0,0,0,4051.3433928239374,0,0,0
red_pine,interior,335,commercial,bc,2025.6716964119687,0,0,0,0,0,0,0
