"harvest"	"location"	"ba"
"68"	"CWB"	"control"	50
"69"	"CWB"	"control"	40
"70"	"CWB"	"control"	10
"71"	"CWB"	"control"	30
"72"	"CWB"	"control"	10
"73"	"CWB"	"control"	0
"74"	"CWB"	"control"	10
"75"	"CWB"	"control"	30
"76"	"CWB"	"control"	30
"77"	"CWB"	"control"	20
"78"	"CWB"	"control"	50
"79"	"CWB"	"control"	10
"80"	"CWB"	"control"	20
"81"	"CWB"	"control"	30
"82"	"CWB"	"control"	50
"83"	"CWB"	"control"	40
"84"	"CWB"	"control"	50
"85"	"CWB"	"control"	80
"86"	"CWB"	"control"	50
"87"	"CWB"	"control"	20
"88"	"CWB"	"control"	50
"89"	"CWB"	"control"	40
"90"	"CWB"	"control"	20
"91"	"CWB"	"control"	50
"92"	"CWB"	"control"	30
"93"	"CWB"	"control"	70
"94"	"CWB"	"control"	40
"95"	"CWB"	"control"	60
"96"	"CWB"	"control"	70
"97"	"CWB"	"control"	60
"98"	"CWB"	"control"	50
"99"	"CWB"	"control"	60
"100"	"CWB"	"control"	50
"101"	"CWB"	"control"	30
"102"	"GL"	"interior"	20
"103"	"GL"	"interior"	0
"104"	"GL"	"interior"	0
"105"	"GL"	"interior"	0
"106"	"GL"	"interior"	10
"107"	"GL"	"interior"	30
"108"	"GL"	"interior"	0
"109"	"GL"	"interior"	0
"110"	"GL"	"interior"	0
"111"	"GL"	"interior"	0
"112"	"GL"	"interior"	10
"113"	"GL"	"interior"	0
"114"	"GL"	"interior"	0
"115"	"GL"	"interior"	10
"116"	"GL"	"interior"	10
"117"	"GL"	"interior"	20
"118"	"GL"	"interior"	0
"119"	"GL"	"interior"	0
"120"	"GL"	"interior"	0
"121"	"GL"	"interior"	10
"122"	"GL"	"interior"	10
"123"	"GL"	"interior"	10
"124"	"GL"	"interior"	20
"125"	"GL"	"interior"	0
"126"	"GL"	"interior"	10
"127"	"GL"	"interior"	0
"128"	"GL"	"interior"	0
"129"	"GL"	"interior"	0
"130"	"GL"	"interior"	40
"131"	"GL"	"interior"	0
"132"	"GL"	"interior"	20
"133"	"GL"	"interior"	0
"134"	"GL"	"interior"	0
"135"	"GL"	"interior"	10
"136"	"GL"	"interior"	0
"137"	"GL"	"interior"	10
"138"	"GL"	"interior"	10
"139"	"GL"	"interior"	10
"140"	"GL"	"interior"	10
"141"	"GL"	"interior"	10
"142"	"GL"	"interior"	0
"143"	"GL"	"interior"	20
"144"	"GL"	"interior"	10
"145"	"GL"	"interior"	10
"146"	"RP"	"interior"	0
"147"	"RP"	"interior"	0
"148"	"RP"	"interior"	10
"149"	"RP"	"interior"	0
"150"	"RP"	"interior"	10
"151"	"RP"	"interior"	0
"152"	"RP"	"interior"	20
"153"	"RP"	"interior"	0
"154"	"RP"	"interior"	30
"155"	"RP"	"interior"	20
"156"	"RP"	"interior"	10
"157"	"RP"	"interior"	0
"158"	"RP"	"interior"	0
"159"	"RP"	"interior"	10
"160"	"RP"	"interior"	10
"161"	"W"	"interior"	30
"162"	"W"	"interior"	50
"163"	"W"	"interior"	20
"164"	"W"	"interior"	30
"165"	"W"	"interior"	0
"166"	"W"	"interior"	40
"167"	"W"	"interior"	30
"168"	"W"	"interior"	50
"169"	"W"	"interior"	100
"170"	"W"	"interior"	20
"171"	"W"	"interior"	80
"172"	"W"	"interior"	80
"173"	"W"	"interior"	10
"174"	"W"	"interior"	10
