"harvest"	"location"	"spp"	"origin"	"point"	"sup.seed01A"	"sup.seed02A"	"sup.seed03A"	"sup.saplA"	"exp.seed01A"	"exp.seed02A"	"exp.seed03A"	"exp.saplA"	"suppressed"	"exposed"	"top4A"
"94"	"rp"	"perimeter"	"316"	"s"	885	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	4336.62549006862	4336.62549006862	0
"95"	"rp"	"perimeter"	"316"	"s"	886	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"96"	"rp"	"perimeter"	"316"	"s"	887	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	4336.62549006862	4336.62549006862	0
"97"	"rp"	"perimeter"	"316"	"s"	890	0	0	0	0	0	0	0	0	0	0	0
"98"	"rp"	"perimeter"	"316"	"s"	891	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	8673.25098013725	8673.25098013725	0
"99"	"rp"	"perimeter"	"316"	"s"	892	0	0	0	0	0	0	0	0	0	0	0
"100"	"wedge"	"interior"	"316"	"s"	375	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"101"	"wedge"	"perimeter"	"316"	"s"	967	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	8673.25098013725	8673.25098013725	0
"102"	"boot"	"interior"	"316"	"t"	355	0	0	0	0	0	0	0	0	0	0	0
"103"	"boot"	"interior"	"316"	"t"	368	0	0	0	0	0	0	0	0	0	0	0
"104"	"boot"	"perimeter"	"316"	"t"	953	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	8673.25098013725	8673.25098013725	26019.7529404117
"105"	"cgl"	"control"	"316"	"t"	730	0	0	0	0	0	0	0	0	0	0	0
"106"	"cgl"	"control"	"316"	"t"	733	0	0	0	0	0	0	0	0	0	0	0
"107"	"cgl"	"control"	"316"	"t"	735	0	0	0	0	0	0	0	0	0	0	0
"108"	"cgl"	"control"	"316"	"t"	742	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	2168.31274503431
"109"	"crp"	"control"	"316"	"t"	748	0	0	0	0	0	0	0	0	0	0	0
"110"	"crp"	"control"	"316"	"t"	762	0	0	0	0	0	0	0	0	0	0	0
"111"	"crp"	"control"	"316"	"t"	767	0	0	0	0	0	0	0	0	0	0	0
"112"	"crp"	"control"	"316"	"t"	774	0	0	0	0	0	0	0	0	0	0	0
"113"	"cwb"	"control"	"316"	"t"	389	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	8673.25098013725	8673.25098013725	34693.003920549
"114"	"gl"	"perimeter"	"316"	"t"	826	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	2168.31274503431
"115"	"gl"	"perimeter"	"316"	"t"	827	0	0	0	0	0	0	0	0	0	0	0
"116"	"gl"	"perimeter"	"316"	"t"	829	0	0	0	0	0	0	0	0	0	0	0
"117"	"gl"	"perimeter"	"316"	"t"	831	7089.85093744189	2696.1127592661	2696.1127592661	2696.1127592661	7089.85093744189	2696.1127592661	2696.1127592661	2696.1127592661	15178.1892152402	15178.1892152402	0
"118"	"gl"	"interior"	"316"	"t"	838	0	0	0	0	0	0	0	0	0	0	0
"119"	"gl"	"interior"	"316"	"t"	839	0	0	0	0	0	0	0	0	0	0	0
"120"	"gl"	"interior"	"316"	"t"	847	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"121"	"rp"	"interior"	"316"	"t"	338	0	0	0	0	0	0	0	0	0	0	0
"122"	"rp"	"interior"	"316"	"t"	342	0	0	0	0	0	0	0	0	0	0	0
"123"	"rp"	"interior"	"316"	"t"	344	0	0	0	0	0	0	0	0	0	0	0
"124"	"rp"	"interior"	"316"	"t"	348	0	0	0	0	0	0	0	0	0	0	0
"125"	"rp"	"perimeter"	"316"	"t"	881	0	0	0	0	0	0	0	0	0	0	0
"126"	"rp"	"perimeter"	"316"	"t"	884	0	0	0	0	0	0	0	0	0	0	0
"127"	"rp"	"perimeter"	"316"	"t"	887	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	4336.62549006862	4336.62549006862	4336.62549006862
"128"	"rp"	"perimeter"	"316"	"t"	888	0	0	0	0	0	0	0	0	0	0	0
"129"	"gl"	"perimeter"	"318"	"r"	807	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"130"	"boot"	"perimeter"	"318"	"s"	953	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"131"	"boot"	"perimeter"	"318"	"s"	965	0	0	0	0	0	0	0	0	0	0	0
