harvest,year,date,location,point,spp,origin,basal2019,height
sta_rd,2019,2020.06.12,interior,367,ab,singl/unk,0.75,34
sta_rd,2019,2020.06.22,perimeter,961,ab,singl/unk,2,121.5
sta_rd,2019,2020.06.12,interior,366,ab,singl/unk,0.6,37.5
sta_rd,2019,2020.06.22,interior,365,wa,singl/unk,0.5,23.5
sta_rd,2019,2020.06.12,interior,368,wa,singl/unk,0.15,15
sta_rd,2019,2020.06.12,perimeter,954,wa,singl/unk,0.2,21
sta_rd,2019,2020.06.19,perimeter,952,wa,singl/unk,0.4,28
sta_rd,2019,2020.06.16,interior,349,wa,singl/unk,0.15,16
sta_rd,2019,2020.06.17,perimeter,951,wa,singl/unk,0.15,34.5
sta_rd,2019,2020.06.12,interior,367,wa,singl/unk,0.2,20
sta_rd,2019,2020.06.12,interior,361,wa,singl/unk,0.3,41
sta_rd,2019,2020.06.12,perimeter,954,wa,singl/unk,0.2,21
sta_rd,2019,2020.06.15,perimeter,959,wa,singl/unk,0.25,22.5
sta_rd,2019,2020.06.22,interior,359,wa,singl/unk,0.2,26
sta_rd,2019,2020.06.12,interior,368,wa,singl/unk,0.2,18.5
sta_rd,2019,2020.06.12,interior,361,wa,singl/unk,0.3,27.5
sta_rd,2019,2020.06.22,perimeter,961,wa,singl/unk,0.2,22
sta_rd,2019,2020.06.15,interior,362,wa,singl/unk,0.2,37.5
sta_rd,2019,2020.06.12,interior,361,wa,singl/unk,0.5,37
sta_rd,2019,2020.06.15,interior,362,wa,singl/unk,0.25,35.5
sta_rd,2019,2020.06.22,interior,364,wa,singl/unk,0.3,38
sta_rd,2019,2020.06.16,interior,350,wa,singl/unk,0.25,24
sta_rd,2019,2020.06.19,perimeter,953,wa,singl/unk,0.25,30.5
sta_rd,2019,2020.06.22,interior,359,wa,singl/unk,0.2,29.5
sta_rd,2019,2020.06.22,interior,365,wa,singl/unk,0.2,35
sta_rd,2019,2020.06.22,perimeter,960,wa,singl/unk,0.2,40
sta_rd,2019,2020.06.15,interior,363,cu,singl/unk,0.25,21.5
sta_rd,2019,2020.06.22,interior,352,cu,singl/unk,0.4,20
sta_rd,2019,2020.06.17,perimeter,951,bc,singl/unk,0.5,61
sta_rd,2019,2020.06.12,interior,367,ro,singl/unk,0.25,28
sta_rd,2019,2020.06.12,perimeter,954,ro,singl/unk,0.2,19
sta_rd,2019,2020.06.12,perimeter,955,ba,singl/unk,0.25,18
gas_line,2019,2020.07.14,control,734,wp,singl/unk,0.9,23
gas_line,2019,2020.07.14,control,730,rm,singl/unk,0.2,16.5
gas_line,2019,2020.07.14,control,730,rm,singl/unk,0.25,32
gas_line,2019,2020.07.13,control,741,rm,singl/unk,0.25,28
gas_line,2019,2020.07.13,control,736,rm,singl/unk,0.2,27.5
gas_line,2019,2020.07.14,control,734,svb,singl/unk,0.3,32
gas_line,2019,2020.07.13,control,740,sb,singl/unk,0.25,23
gas_line,2019,2020.07.14,control,729,sb,singl/unk,0.25,26
gas_line,2019,2020.07.14,control,735,sb,singl/unk,0.25,35
gas_line,2019,2020.07.14,control,731,sb,singl/unk,0.4,43
gas_line,2019,2020.07.14,control,733,sb,singl/unk,0.2,23
