harvest,location,point,per.acre_point.supp,per.acre_point.exp,per.acre_point.top4
gl,interior,845,1012.8358482059843,2553.4717106437542,0
gl,interior,846,0,770.317931218885,770.317931218885
gl,interior,847,8873.004716866759,6405.061366738179,1540.63586243777
gl,interior,848,2025.6716964119687,2310.953793656655,1540.63586243777
gl,interior,849,2410.830662021411,770.317931218885,0
gl,interior,850,0,5449.338206639364,1540.63586243777
gl,interior,851,3038.507544617953,3323.789641862639,1540.63586243777
gl,interior,852,0,5392.225518532195,1540.63586243777
gl,interior,853,6077.015089235906,6504.938235102935,770.317931218885
gl,interior,855,5064.179241029922,2025.6716964119687,0
gl,interior,857,2025.6716964119687,4436.502358433379,385.1589656094425
gl,interior,858,4051.3433928239374,15092.660854725007,1540.63586243777
gl,interior,859,2795.9896276308536,8045.574097540704,1155.4768968283274
gl,interior,860,11141.19433026583,22738.727478806686,1540.63586243777
gl,interior,861,3038.507544617953,1540.63586243777,0
gl,interior,864,11141.19433026583,0,0
gl,interior,865,8102.686785647875,1925.7948280472124,1155.4768968283274
gl,interior,866,2025.6716964119687,14350.758595914129,1540.63586243777
gl,interior,867,0,3423.6665102273955,385.1589656094425
gl,interior,868,1012.8358482059843,4721.784455678066,1540.63586243777
gl,interior,869,9115.52263385386,2410.830662021411,1155.4768968283274
gl,interior,870,0,6219.656137858249,1540.63586243777
gl,interior,871,18231.04526770772,7318.0203465794075,0
gl,interior,872,1012.8358482059843,3466.4306904849823,1540.63586243777
gl,interior,875,0,15577.696688699207,0
gl,interior,876,4051.3433928239374,1012.8358482059843,0
gl,interior,877,0,2025.6716964119687,770.317931218885
gl,interior,878,5064.179241029922,12524.840636231671,1155.4768968283274
gl,interior,879,4051.3433928239374,9158.286814111447,770.317931218885
gl,perimeter,801,1012.8358482059843,1925.7948280472124,1540.63586243777
gl,perimeter,802,27104.049984574478,4236.748621703868,1540.63586243777
gl,perimeter,803,0,2553.4717106437542,1540.63586243777
gl,perimeter,804,1012.8358482059843,4336.625490068624,1540.63586243777
gl,perimeter,805,2025.6716964119687,3566.3075588497386,1540.63586243777
gl,perimeter,806,385.1589656094425,3038.507544617953,0
gl,perimeter,807,4051.3433928239374,3808.825475836838,0
gl,perimeter,808,2025.6716964119687,6162.54344975108,1540.63586243777
gl,perimeter,809,0,5449.338206639364,0
gl,perimeter,810,28359.40374976756,8088.3382777982915,385.1589656094425
gl,perimeter,811,6077.015089235906,25235.086501343278,1540.63586243777
gl,perimeter,812,2025.6716964119687,9686.086828343232,1155.4768968283274
