harvest,year,date,location,point,spp,origin,basal2019,height
boot,2019,2020.06.15,interior,369,sb,s,0.5,57
boot,2019,2020.06.22,perimeter,960,sb,s,0.15,30
boot,2019,2020.06.17,interior,353,sb,s,0.2,42.5
boot,2019,2020.06.12,interior,366,sb,s,0.35,53.5
boot,2019,2020.06.12,perimeter,956,sb,s,0.35,47
boot,2019,2020.06.22,interior,360,sb,s,0.45,43.5
boot,2019,2020.06.22,interior,357,sb,s,0.2,36
boot,2019,2020.06.15,perimeter,958,sb,s,0.2,52
boot,2019,2020.06.17,interior,353,sb,s,0.2,45.5
boot,2019,2020.06.12,interior,366,sb,s,0.35,58
boot,2019,2020.06.12,perimeter,957,sb,s,0.2,35
boot,2019,2020.06.15,perimeter,958,sb,s,0.2,49.5
boot,2019,2020.06.17,perimeter,951,sb,s,0.6,58.5
boot,2019,2020.06.22,perimeter,961,sb,s,0.3,52
boot,2019,2020.06.16,perimeter,964,sb,s,0.25,42
boot,2019,2020.06.22,interior,352,sb,s,0.3,56
boot,2019,2020.06.19,interior,358,sb,s,0.5,62
boot,2019,2020.06.22,interior,360,sb,s,0.5,48
boot,2019,2020.06.16,perimeter,964,sb,s,0.25,49
boot,2019,2020.06.22,interior,357,sb,s,0.9,71
boot,2019,2020.06.16,interior,349,sb,s,0.65,65
boot,2019,2020.06.19,interior,358,sb,s,0.6,78.5
boot,2019,2020.06.22,interior,352,sb,s,0.5,66
boot,2019,2020.06.16,perimeter,965,sb,s,0.9,74
boot,2019,2020.06.15,perimeter,958,pb,s,0.2,33.5
boot,2019,2020.06.15,perimeter,959,pb,s,0.5,63
boot,2019,2020.06.15,perimeter,959,pb,s,0.4,58.5
boot,2019,2020.06.22,perimeter,960,ab,s,0.8,43.5
boot,2019,2020.06.22,interior,354,ab,s,0.25,17.5
boot,2019,2020.06.19,perimeter,952,ab,s,0.25,18
boot,2019,2020.06.17,interior,353,ab,s,0.6,30
boot,2019,2020.06.22,interior,365,ab,s,1.3,83
boot,2019,2020.06.22,interior,357,ab,s,0.5,45
boot,2019,2020.06.15,perimeter,958,ab,s,1,70
boot,2019,2020.06.22,interior,357,ab,s,0.7,57.5
boot,2019,2020.06.22,interior,364,ab,s,1,45.5
boot,2019,2020.06.12,interior,367,ab,s,0.75,58
boot,2019,2020.06.15,interior,369,ab,s,0.35,19
boot,2019,2020.06.12,interior,367,ab,s,0.75,34
boot,2019,2020.06.22,perimeter,961,ab,s,2,121.5
boot,2019,2020.06.12,interior,366,ab,s,0.6,37.5
boot,2019,2020.06.22,interior,365,wa,s,0.5,23.5
