harvest,location,point,count,spp,origin,year,type,size,stems.per.acre
red_pine,interior,343,1,wa,singl/unk,2019,commercial,exp_med,0
red_pine,interior,343,1,wa,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,343,1,wa,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,343,1,wa,singl/unk,2019,commercial,suppressed,1012.8358482059843
red_pine,interior,343,1,wa,singl/unk,2019,commercial,exposed,0
red_pine,interior,343,1,wa,singl/unk,2019,commercial,total,1012.8358482059843
red_pine,interior,343,1,wa,singl/unk,2019,commercial,winners,0
red_pine,interior,344,1,rm,singl/unk,2019,commercial,sup_short,1012.8358482059843
red_pine,interior,344,1,rm,singl/unk,2019,commercial,sup_med,0
red_pine,interior,344,1,rm,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,344,1,rm,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,344,1,rm,singl/unk,2019,commercial,exp_short,1012.8358482059843
red_pine,interior,344,1,rm,singl/unk,2019,commercial,exp_med,0
red_pine,interior,344,1,rm,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,344,1,rm,singl/unk,2019,commercial,exp_sapl,385.1589656094425
red_pine,interior,344,1,rm,singl/unk,2019,commercial,suppressed,1012.8358482059843
red_pine,interior,344,1,rm,singl/unk,2019,commercial,exposed,1012.8358482059843
red_pine,interior,344,1,rm,singl/unk,2019,commercial,total,2025.6716964119687
red_pine,interior,344,1,rm,singl/unk,2019,commercial,winners,0
red_pine,interior,344,1,rm,stump,2019,commercial,sup_short,0
red_pine,interior,344,1,rm,stump,2019,commercial,sup_med,0
red_pine,interior,344,1,rm,stump,2019,commercial,sup_tall,0
red_pine,interior,344,1,rm,stump,2019,commercial,sup_sapl,0
red_pine,interior,344,1,rm,stump,2019,commercial,exp_short,3038.507544617953
red_pine,interior,344,1,rm,stump,2019,commercial,exp_med,385.1589656094425
red_pine,interior,344,1,rm,stump,2019,commercial,exp_tall,0
red_pine,interior,344,1,rm,stump,2019,commercial,exp_sapl,0
red_pine,interior,344,1,rm,stump,2019,commercial,suppressed,0
red_pine,interior,344,1,rm,stump,2019,commercial,exposed,3423.6665102273955
red_pine,interior,344,1,rm,stump,2019,commercial,total,3423.6665102273955
red_pine,interior,344,1,rm,stump,2019,commercial,winners,0
red_pine,interior,344,1,sb,singl/unk,2019,commercial,sup_short,0
red_pine,interior,344,1,sb,singl/unk,2019,commercial,sup_med,0
red_pine,interior,344,1,sb,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,344,1,sb,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,344,1,sb,singl/unk,2019,commercial,exp_short,2025.6716964119687
red_pine,interior,344,1,sb,singl/unk,2019,commercial,exp_med,385.1589656094425
red_pine,interior,344,1,sb,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,344,1,sb,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,344,1,sb,singl/unk,2019,commercial,suppressed,0
red_pine,interior,344,1,sb,singl/unk,2019,commercial,exposed,2410.830662021411
red_pine,interior,344,1,sb,singl/unk,2019,commercial,total,2410.830662021411
red_pine,interior,344,1,sb,singl/unk,2019,commercial,winners,0
red_pine,interior,345,1,rm,singl/unk,2019,commercial,sup_short,0
red_pine,interior,345,1,rm,singl/unk,2019,commercial,sup_med,0
red_pine,interior,345,1,rm,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,345,1,rm,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,345,1,rm,singl/unk,2019,commercial,exp_short,7089.85093744189
red_pine,interior,345,1,rm,singl/unk,2019,commercial,exp_med,0
red_pine,interior,345,1,rm,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,345,1,rm,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,345,1,rm,singl/unk,2019,commercial,suppressed,0
red_pine,interior,345,1,rm,singl/unk,2019,commercial,exposed,7089.85093744189
red_pine,interior,345,1,rm,singl/unk,2019,commercial,total,7089.85093744189
red_pine,interior,345,1,rm,singl/unk,2019,commercial,winners,0
red_pine,interior,345,1,wa,singl/unk,2019,commercial,sup_short,0
red_pine,interior,345,1,wa,singl/unk,2019,commercial,sup_med,0
red_pine,interior,345,1,wa,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,345,1,wa,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,345,1,wa,singl/unk,2019,commercial,exp_short,3038.507544617953
red_pine,interior,345,1,wa,singl/unk,2019,commercial,exp_med,0
red_pine,interior,345,1,wa,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,345,1,wa,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,345,1,wa,singl/unk,2019,commercial,suppressed,0
red_pine,interior,345,1,wa,singl/unk,2019,commercial,exposed,3038.507544617953
red_pine,interior,345,1,wa,singl/unk,2019,commercial,total,3038.507544617953
red_pine,interior,345,1,wa,singl/unk,2019,commercial,winners,770.317931218885
red_pine,interior,345,1,wa,stump,2019,commercial,sup_short,0
red_pine,interior,345,1,wa,stump,2019,commercial,sup_med,0
red_pine,interior,345,1,wa,stump,2019,commercial,sup_tall,0
red_pine,interior,345,1,wa,stump,2019,commercial,sup_sapl,0
red_pine,interior,345,1,wa,stump,2019,commercial,exp_short,4051.3433928239374
red_pine,interior,345,1,wa,stump,2019,commercial,exp_med,0
red_pine,interior,345,1,wa,stump,2019,commercial,exp_tall,0
red_pine,interior,345,1,wa,stump,2019,commercial,exp_sapl,0
red_pine,interior,345,1,wa,stump,2019,commercial,suppressed,0
red_pine,interior,345,1,wa,stump,2019,commercial,exposed,4051.3433928239374
