harvest,location,point,comm.per.acre_point.supp,comm.per.acre_point.exp01,comm.per.acre_point.exp02,comm.per.acre_point.exp03,comm.per.acre_point.expsapl,comm.per.acre_point.exp,comm.per.acre_point.total,comm.per.acre_point.top4,count
boot,interior,368,0,2025.6716964119687,385.1589656094425,0,0,2410.830662021411,2410.830662021411,385.1589656094425,1
boot,interior,369,15192.537723089767,27346.56790156158,0,0,0,27346.56790156158,42539.10562465135,1540.63586243777,1
boot,perimeter,951,12154.030178471812,14179.70187488378,770.317931218885,0,0,14950.019806102664,27104.049984574478,0,1
boot,perimeter,952,2025.6716964119687,4051.3433928239374,0,0,0,4051.3433928239374,6077.015089235907,0,1
boot,perimeter,953,10128.358482059844,2025.6716964119687,1540.63586243777,0,0,3566.3075588497386,13694.666040909582,1155.4768968283274,1
boot,perimeter,954,1012.8358482059843,1012.8358482059843,0,0,0,1012.8358482059843,2025.6716964119687,0,1
boot,perimeter,955,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425,1
boot,perimeter,956,0,7089.85093744189,0,0,0,7089.85093744189,7089.85093744189,0,1
boot,perimeter,958,11141.19433026583,16205.37357129575,0,0,0,16205.37357129575,27346.56790156158,0,1
boot,perimeter,959,4051.3433928239374,10128.358482059844,0,0,0,10128.358482059844,14179.701874883782,0,1
boot,perimeter,960,10128.358482059844,0,0,0,0,0,10128.358482059844,0,1
boot,perimeter,962,1012.8358482059843,0,0,0,0,0,1012.8358482059843,0,1
boot,perimeter,963,1012.8358482059843,4051.3433928239374,0,0,0,4051.3433928239374,5064.179241029922,0,1
boot,perimeter,964,3038.507544617953,4051.3433928239374,0,0,0,4051.3433928239374,7089.85093744189,1155.4768968283274,1
boot,perimeter,965,2025.6716964119687,21269.552812325674,385.1589656094425,0,0,21654.711777935117,23680.383474347087,385.1589656094425,1
cgl,control,730,1012.8358482059843,14179.701874883782,2696.1127592660973,0,0,16875.81463414988,17888.650482355864,1540.63586243777,1
cgl,control,731,3038.507544617953,5064.179241029922,0,0,0,5064.179241029922,8102.686785647875,385.1589656094425,1
cgl,control,732,1012.8358482059843,1012.8358482059843,1155.4768968283274,0,0,2168.312745034312,3181.148593240296,1155.4768968283274,1
cgl,control,733,0,5064.179241029922,0,0,0,5064.179241029922,5064.179241029922,0,1
cgl,control,734,0,0,0,0,0,0,0,0,1
cgl,control,735,0,18231.04526770772,385.1589656094425,0,0,18616.20423331716,18616.20423331716,385.1589656094425,1
