harvest,location,point,count,spp,origin,year,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
wedge,interior,380,1,sb,singl/unk,2019,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
wedge,interior,380,1,wa,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
wedge,interior,380,1,pc,singl/unk,2019,0,0,0,0,0,2696.1127592660973,0,0,0,2696.1127592660973,2696.1127592660973,0
wedge,interior,381,1,wa,singl/unk,2019,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,2025.6716964119687,770.317931218885
wedge,interior,382,1,wa,singl/unk,2019,3038.507544617953,0,0,0,0,0,0,0,3038.507544617953,0,3038.507544617953,0
wedge,interior,382,1,pc,singl/unk,2019,0,0,0,0,0,1540.63586243777,770.317931218885,0,0,2310.953793656655,2310.953793656655,1540.63586243777
wedge,interior,383,1,sb,singl/unk,2019,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,2025.6716964119687,0
wedge,interior,383,1,pc,singl/unk,2019,0,0,0,0,2025.6716964119687,5392.225518532195,0,0,0,7417.897214944163,7417.897214944163,0
wedge,interior,383,1,bc,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
wedge,interior,383,1,ba,stump,2019,0,0,0,0,0,1540.63586243777,1155.4768968283274,0,0,2696.1127592660973,2696.1127592660973,1540.63586243777
sta_rd,control,384,1,wa,singl/unk,2019,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,1155.4768968283274
sta_rd,control,385,1,sb,singl/unk,2019,0,0,0,0,0,1155.4768968283274,0,0,0,1155.4768968283274,1155.4768968283274,1155.4768968283274
sta_rd,control,385,1,wa,singl/unk,2019,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,385.1589656094425
sta_rd,control,386,1,sb,singl/unk,2019,2025.6716964119687,0,0,0,18231.04526770772,0,0,0,2025.6716964119687,18231.04526770772,20256.71696411969,1540.63586243777
sta_rd,control,387,1,sb,singl/unk,2019,8102.686785647875,0,0,0,23295.22450873764,0,0,0,8102.686785647875,23295.22450873764,31397.911294385514,1540.63586243777
sta_rd,control,387,1,pc,singl/unk,2019,3038.507544617953,0,0,0,0,0,0,0,3038.507544617953,0,3038.507544617953,0
sta_rd,control,388,1,sb,singl/unk,2019,2025.6716964119687,0,0,0,0,0,0,0,2025.6716964119687,0,2025.6716964119687,770.317931218885
sta_rd,control,388,1,sb,singl/unk,2019,2025.6716964119687,0,0,0,0,0,0,0,2025.6716964119687,0,2025.6716964119687,770.317931218885
sta_rd,control,388,1,pc,singl/unk,2019,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
sta_rd,control,389,1,rm,stump,2019,4051.3433928239374,0,0,0,0,0,0,0,4051.3433928239374,0,4051.3433928239374,1540.63586243777
sta_rd,control,389,1,sb,singl/unk,2019,1012.8358482059843,0,0,0,8102.686785647875,0,0,0,1012.8358482059843,8102.686785647875,9115.52263385386,0
sta_rd,control,389,1,pc,singl/unk,2019,2025.6716964119687,0,0,0,1012.8358482059843,0,0,0,2025.6716964119687,1012.8358482059843,3038.507544617953,0
sta_rd,control,390,1,sb,singl/unk,2019,9115.52263385386,0,0,0,22282.388660531655,0,0,0,9115.52263385386,22282.388660531655,31397.911294385514,1540.63586243777
