harvest,location,numb_yrs_grow,type,season,size,stem_p_ac,spp_stocking_avg,spp_stocking_max
red_pine,control,2,commercial,2019,exposed,3239.6971022817047,21.67487684729064,68.96551724137932
red_pine,control,2,diversity,2019,exposed,3793.0896545170094,26.724137931034484,48.275862068965516
red_pine,control,2,interfering,2019,exposed,3881.6351792926416,18.103448275862068,58.620689655172406
red_pine,control,3,commercial,2020,exposed,4486.6784791893315,20.306513409961685,65.51724137931035
red_pine,control,3,diversity,2020,exposed,3920.9844340850123,29.310344827586206,48.275862068965516
red_pine,control,3,interfering,2020,exposed,4822.650876308311,21.551724137931036,62.06896551724138
red_pine,control,3,other,2020,exposed,104.77612222820528,10.344827586206897,10.344827586206897
red_pine,control,4,commercial,2021,exposed,7296.444226594634,23.79310344827586,79.3103448275862
red_pine,control,4,diversity,2021,exposed,5459.175520337457,31.034482758620687,55.172413793103445
red_pine,control,4,interfering,2021,exposed,5093.196405991455,22.413793103448274,55.172413793103445
red_pine,control,4,other,2021,exposed,118.05746586991017,5.172413793103448,6.896551724137931
red_pine,control,NA,other,NA,exposed,0,NA,NA
red_pine,interior,2,commercial,2019,exposed,10297.63336224612,NA,NA
red_pine,interior,2,diversity,2019,exposed,6330.918031405618,46.666666666666664,66.66666666666666
red_pine,interior,2,interfering,2019,exposed,2352.817675382502,18.333333333333332,40
red_pine,interior,2,other,2019,exposed,247.26324049813877,10,13.333333333333334
red_pine,interior,3,commercial,2020,exposed,10094.109625414952,31.85185185185185,80
red_pine,interior,3,diversity,2020,exposed,4327.134843046545,31.11111111111111,60
red_pine,interior,3,interfering,2020,exposed,1272.4594372961185,16.666666666666664,33.33333333333333
red_pine,interior,3,other,2020,exposed,0,NA,NA
red_pine,interior,4,commercial,2021,exposed,15227.705634485807,40,80
red_pine,interior,4,diversity,2021,exposed,9699.44125656402,41.666666666666664,73.33333333333333
red_pine,interior,4,interfering,2021,exposed,1780.3028340743635,20,46.666666666666664
red_pine,interior,NA,other,NA,exposed,0,NA,NA
red_pine,perimeter,2,commercial,2019,exposed,2696.1344010577254,NA,NA
red_pine,perimeter,2,diversity,2019,exposed,5945.303145385872,42.30769230769231,61.53846153846154
red_pine,perimeter,2,interfering,2019,exposed,5315.440441834868,NA,NA
red_pine,perimeter,2,other,2019,exposed,155.8208997239976,7.6923076923076925,7.6923076923076925
red_pine,perimeter,3,commercial,2020,exposed,4016.218765011153,32.05128205128205,92.3076923076923
red_pine,perimeter,3,diversity,2020,exposed,6445.683009624559,35.38461538461539,53.84615384615385
red_pine,perimeter,3,interfering,2020,exposed,5195.826259505073,32.69230769230769,69.23076923076923
red_pine,perimeter,4,commercial,2021,exposed,5381.296413759886,29.80769230769231,92.3076923076923
red_pine,perimeter,4,diversity,2021,exposed,6627.8419697602385,42.30769230769231,53.84615384615385
red_pine,perimeter,4,interfering,2021,exposed,5940.909861685321,30.76923076923077,69.23076923076923
red_pine,perimeter,4,other,2021,exposed,88.88283821756364,7.6923076923076925,7.6923076923076925
red_pine,perimeter,NA,other,NA,exposed,0,NA,NA
sta_rd,control,2,commercial,2019,exposed,5288.227798432089,33.333333333333336,52.94117647058824
sta_rd,control,2,diversity,2019,exposed,52.4456993948491,2.941176470588235,2.941176470588235
sta_rd,control,2,interfering,2019,exposed,486.2770543764124,15.686274509803923,17.647058823529413
sta_rd,control,3,commercial,2020,exposed,6808.739340748642,36.27450980392157,55.88235294117647
sta_rd,control,3,diversity,2020,exposed,63.77390426571505,4.411764705882352,5.88235294117647
sta_rd,control,3,interfering,2020,exposed,578.5824782876686,NA,NA
sta_rd,control,3,other,2020,exposed,0,NA,NA
sta_rd,control,4,commercial,2021,exposed,5817.715872410884,30.88235294117647,55.88235294117647
sta_rd,control,4,diversity,2021,exposed,41.11749452398314,4.411764705882352,5.88235294117647
sta_rd,control,4,interfering,2021,exposed,561.3791635129934,NA,NA
sta_rd,control,4,other,2021,exposed,0,NA,NA
sta_rd,control,NA,other,NA,exposed,0,NA,NA
wedge,interior,2,commercial,2019,exposed,9742.174623032573,NA,NA
wedge,interior,2,diversity,2019,exposed,374.9703192792752,NA,NA
wedge,interior,2,interfering,2019,exposed,7911.071908412875,38.095238095238095,92.85714285714286
wedge,interior,3,commercial,2020,exposed,13094.520608948798,30.952380952380953,42.857142857142854
wedge,interior,3,diversity,2020,exposed,302.62490155027626,NA,NA
wedge,interior,3,interfering,2020,exposed,7218.183670113388,50,50
wedge,interior,3,other,2020,exposed,0,NA,NA
wedge,interior,4,commercial,2021,exposed,9742.174623032575,33.33333333333333,42.857142857142854
wedge,interior,4,diversity,2021,exposed,402.4816739656639,7.142857142857142,7.142857142857142
wedge,interior,4,interfering,2021,exposed,8877.023906740595,50,85.71428571428571
wedge,interior,4,other,2021,exposed,0,NA,NA
wedge,perimeter,2,commercial,2019,exposed,3067.0357543424216,NA,NA
wedge,perimeter,2,diversity,2019,exposed,1629.0901931810922,20,30
wedge,perimeter,2,interfering,2019,exposed,6937.16593332484,60,70
wedge,perimeter,3,commercial,2020,exposed,5613.389479719617,37.5,50
wedge,perimeter,3,diversity,2020,exposed,1126.948687103859,25,40
wedge,perimeter,3,interfering,2020,exposed,7124.034147318844,55,70
wedge,perimeter,4,commercial,2021,exposed,6108.384866201175,26,40
wedge,perimeter,4,diversity,2021,exposed,1363.7553352802413,20,30
wedge,perimeter,4,interfering,2021,exposed,7807.3325985793645,60,70
NA,NA,2,commercial,2021,exposed,NA,NA,NA
