point,count,spp,origin,harvest,location,year,wall,cut,season,numb_yrs_grow,type,size,stems.per.acre
355,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
355,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,6077.015089235906
355,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
355,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
355,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
355,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,1012.8358482059843
355,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,6077.015089235906
355,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,7089.85093744189
355,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
355,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,2025.6716964119687
355,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
355,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
355,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
355,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
355,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
355,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
355,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
355,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,2025.6716964119687
355,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,0
355,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,2025.6716964119687
355,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
357,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,1012.8358482059843
357,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
357,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
357,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
357,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
357,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,385.1589656094425
357,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
357,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
357,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,1012.8358482059843
357,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,385.1589656094425
357,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,1397.9948138154268
357,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,385.1589656094425
358,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,1012.8358482059843
358,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
358,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
358,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
358,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
358,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
358,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
358,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
358,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,1012.8358482059843
358,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,0
358,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,1012.8358482059843
358,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
359,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,2025.6716964119687
359,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
359,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
359,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
359,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
359,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
359,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
359,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
359,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,2025.6716964119687
359,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,0
359,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,2025.6716964119687
359,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
360,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,0
360,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
360,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
360,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
360,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,2025.6716964119687
360,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
360,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
360,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
360,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,0
360,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,2025.6716964119687
360,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,2025.6716964119687
360,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
361,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,0
361,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
361,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
361,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
361,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,2025.6716964119687
361,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
361,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
361,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
361,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,0
361,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,2025.6716964119687
361,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,2025.6716964119687
361,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,770.317931218885
362,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,21269.55281232567
362,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
362,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
362,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
362,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
362,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
362,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
362,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
362,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,21269.55281232567
362,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,0
362,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,21269.55281232567
362,1,wa,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
364,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,1012.8358482059843
