harvest,location,point,wall,season,cut,year,numb_yrs_grow,origin,spp,LT_seedling,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
sta_rd,interior,368,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
sta_rd,interior,369,protected,2022,2017,2022,5,singl/unk,004,4051.3433928239374,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,369,protected,2022,2017,2022,5,singl/unk,316,0,3038.507544617953,0,0,0,12154.030178471812,0,0,0,3038.507544617953,12154.030178471812,15192.537723089765,0
sta_rd,interior,369,protected,2022,2017,2022,5,singl/unk,372,0,15192.537723089765,0,0,0,3038.507544617953,16561.835521206027,385.1589656094425,0,15192.537723089765,19985.502031433425,35178.03975452319,1540.63586243777
sta_rd,interior,369,protected,2022,2017,2022,5,veg,372,0,0,0,0,0,0,1155.4768968283274,0,0,0,1155.4768968283274,1155.4768968283274,0
sta_rd,interior,369,protected,2022,2017,2022,5,veg,531,0,6077.015089235906,0,0,0,1012.8358482059843,0,0,0,6077.015089235906,1012.8358482059843,7089.85093744189,0
sta_rd,interior,369,protected,2022,2017,2022,5,singl/unk,541,0,5064.179241029922,0,0,0,9115.52263385386,0,0,0,5064.179241029922,9115.52263385386,14179.701874883782,0
sta_rd,interior,370,protected,2022,2017,2022,5,singl/unk,004,3038.507544617953,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,370,protected,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,21269.55281232567,2310.953793656655,0,0,0,23580.506605982326,23580.506605982326,0
sta_rd,interior,370,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,370,protected,2022,2017,2022,5,veg,743,0,0,0,0,0,0,770.317931218885,1540.63586243777,2310.953793656655,0,4621.90758731331,4621.90758731331,1540.63586243777
sta_rd,interior,370,protected,2022,2017,2022,5,veg,746,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,370,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,1012.8358482059843,3851.5896560944248,1155.4768968283274,0,0,6019.9024011287365,6019.9024011287365,0
sta_rd,interior,371,protected,2022,2017,2022,5,singl/unk,004,4051.3433928239374,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,371,protected,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,11141.194330265827,1155.4768968283274,0,0,0,12296.671227094155,12296.671227094155,0
sta_rd,interior,371,protected,2022,2017,2022,5,veg,372,0,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
sta_rd,interior,371,protected,2022,2017,2022,5,veg,531,0,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
sta_rd,interior,371,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,371,protected,2022,2017,2022,5,veg,761,0,0,0,0,0,0,1925.7948280472124,0,0,0,1925.7948280472124,1925.7948280472124,1540.63586243777
sta_rd,interior,371,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
sta_rd,interior,372,protected,2022,2017,2022,5,singl/unk,004,2025.6716964119687,0,0,0,0,0,0,0,0,0,0,0,0
