harvest,season,cut,year,numb_yrs_grow,point,location,wall,spp,count,origin,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total
recknagel_north,2023,2019,2023,4,1431,perimeter,protected,701,1,single,0,0,0,0,1012.8253208302352,2310.9297736943204,0,0,0,3323.7550945245557,3323.7550945245557
recknagel_north,2023,2019,2023,4,1431,perimeter,protected,701,5,clump,0,0,0,0,0,0,1925.7748114119338,0,0,1925.7748114119338,1925.7748114119338
recknagel_north,2023,2019,2023,4,1431,perimeter,protected,701,2,clump,0,0,0,0,0,0,770.3099245647735,0,0,770.3099245647735,770.3099245647735
recknagel_north,2023,2019,2023,4,1431,perimeter,protected,761,1,single,0,0,0,0,0,770.3099245647735,0,0,0,770.3099245647735,770.3099245647735
recknagel_north,2023,2019,2023,4,1431,perimeter,protected,833,1,single,0,0,0,0,1012.8253208302352,770.3099245647735,0,0,0,1783.1352453950087,1783.1352453950087
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,316,1,single,1012.8253208302352,770.3099245647735,0,0,0,385.15496228238675,385.15496228238675,0,1783.1352453950087,770.3099245647735,2553.445169959782
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,318,1,single,1012.8253208302352,770.3099245647735,0,0,0,0,0,0,1783.1352453950087,0,1783.1352453950087
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,531,1,single,0,1925.7748114119338,385.15496228238675,0,0,770.3099245647735,0,0,2310.9297736943204,770.3099245647735,3081.239698259094
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,531,3,clump,0,0,0,0,0,1155.4648868471602,0,0,0,1155.4648868471602,1155.4648868471602
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,531,2,clump,0,770.3099245647735,0,0,0,0,0,0,770.3099245647735,0,770.3099245647735
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,531,3,clump,0,0,0,0,0,1155.4648868471602,0,0,0,1155.4648868471602,1155.4648868471602
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,531,3,clump,0,1155.4648868471602,0,0,0,0,0,0,1155.4648868471602,0,1155.4648868471602
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,531,4,clump,0,0,0,0,0,1540.619849129547,0,0,0,1540.619849129547,1540.619849129547
recknagel_north,2023,2019,2023,4,1432,perimeter,protected,541,1,single,1012.8253208302352,1540.619849129547,0,0,0,2696.084735976707,0,0,2553.445169959782,2696.084735976707,5249.52990593649
