harvest,wall,location,point,count,season,cut,year,numb_yrs_grow,origin,spp,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
recknagel,protected,interior,156,1,2021,2019,2021,2,veg,316,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,385.1589656094425
recknagel,protected,interior,156,1,2021,2019,2021,2,singl/unk,762,0,0,0,0,5064.179241029922,0,0,0,0,5064.179241029922,5064.179241029922,385.1589656094425
recknagel,protected,interior,156,1,2021,2019,2021,2,singl/unk,318,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
recknagel,protected,interior,156,1,2021,2019,2021,2,singl/unk,541,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,385.1589656094425
recknagel,protected,interior,156,1,2021,2019,2021,2,veg,541,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,protected,interior,157,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
recknagel,protected,interior,157,1,2021,2019,2021,2,singl/unk,761,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,protected,interior,157,1,2021,2019,2021,2,singl/unk,762,0,0,0,0,1012.8358482059843,1155.4768968283274,0,0,0,2168.312745034312,2168.312745034312,770.317931218885
recknagel,protected,interior,157,1,2021,2019,2021,2,veg,316,0,0,0,0,0,2310.953793656655,0,0,0,2310.953793656655,2310.953793656655,770.317931218885
recknagel,protected,interior,157,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
recknagel,protected,interior,157,1,2021,2019,2021,2,singl/unk,355,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,interior,158,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,14179.70187488378,0,0,0,0,14179.70187488378,14179.70187488378,1540.63586243777
recknagel,protected,interior,158,1,2021,2019,2021,2,veg,531,0,0,0,0,8102.686785647875,0,0,0,0,8102.686785647875,8102.686785647875,0
recknagel,protected,interior,159,1,2021,2019,2021,2,singl/unk,833,0,0,0,0,7089.85093744189,0,0,0,0,7089.85093744189,7089.85093744189,1155.4768968283274
recknagel,protected,interior,159,1,2021,2019,2021,2,singl/unk,355,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
recknagel,protected,interior,159,1,2021,2019,2021,2,veg,531,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
recknagel,protected,interior,159,1,2021,2019,2021,2,veg,318,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,385.1589656094425
recknagel,protected,interior,160,1,2021,2019,2021,2,singl/unk,833,0,0,0,0,10128.358482059844,0,0,0,0,10128.358482059844,10128.358482059844,385.1589656094425
